,domains,country,web_pages,name
0,csuci.edu,United States,https://www.csuci.edu/,California State University Channel Islands
1,calbaptist.edu,United States,http://www.calbaptist.edu/,California Baptist University
2,calsouthern.edu,United States,http://www.calsouthern.edu/,California Southern University
3,cpp.edu,United States,http://www.cpp.edu/,"California Polytechnic State University, Pomona"
4,calcoast.edu,United States,http://www.calcoast.edu/,California Coast University
5,caltech.edu,United States,http://www.caltech.edu/,California Institute of Technology
6,callutheran.edu,United States,http://www.callutheran.edu/,California Lutheran University
7,csum.edu,United States,http://www.csum.edu/,California Maritime Academy
8,cnuas.edu,United States,http://www.cnuas.edu/,California National University
9,calpoly.edu,United States,http://www.calpoly.edu/,"California Polytechnic State University, San Luis Obispo"
10,"csub.edu,csubak.edu",United States,http://www.csub.edu/,"California State University, Bakersfield"
11,csuchico.edu,United States,http://www.csuchico.edu/,"California State University, Chico"
12,csudh.edu,United States,http://www.csudh.edu/,"California State University, Dominguez Hills"
13,"csufresno.edu,fresnostate.edu",United States,"http://www.csufresno.edu/,http://www.fresnostate.edu/","California State University, Fresno"
14,fullerton.edu,United States,http://www.fullerton.edu/,"California State University, Fullerton"
15,csuhayward.edu,United States,http://www.csuhayward.edu/,"California State University, Hayward"
16,csulb.edu,United States,http://www.csulb.edu/,"California State University, Long Beach"
17,calstatela.edu,United States,http://www.calstatela.edu/,"California State University, Los Angeles"
18,csumb.edu,United States,http://www.csumb.edu/,"California State University, Monterey Bay"
19,csun.edu,United States,http://www.csun.edu/,"California State University, Northridge"
20,csus.edu,United States,http://www.csus.edu/,"California State University, Sacramento"
21,csusb.edu,United States,http://www.csusb.edu/,"California State University, San Bernardino"
22,csusm.edu,United States,http://www.csusm.edu/,"California State University, San Marcos"
23,csustan.edu,United States,http://www.csustan.edu/,"California State University, Stanislaus"
24,calstate.edu,United States,http://www.calstate.edu/,California State University System
25,cup.edu,United States,http://www.cup.edu/,California University of Pennsylvania
26,newcollege.edu,United States,http://www.newcollege.edu/,New College of California
27,stmarys-ca.edu,United States,http://www.stmarys-ca.edu/,Saint Mary's College of California
28,berkeley.edu,United States,http://www.berkeley.edu/,"University of California, Berkeley"
29,ucdavis.edu,United States,http://www.ucdavis.edu/,"University of California, Davis"
30,uci.edu,United States,http://www.uci.edu/,"University of California, Irvine"
31,ucla.edu,United States,http://www.ucla.edu/,"University of California, Los Angeles"
32,ucmerced.edu,United States,http://www.ucmerced.edu/,"University of California, Merced"
33,ucop.edu,United States,https://www.ucop.edu/,"University of California, Office of the President"
34,ucr.edu,United States,http://www.ucr.edu/,"University of California, Riverside"
35,ucsd.edu,United States,http://www.ucsd.edu/,"University of California, San Diego"
36,ucsf.edu,United States,http://www.ucsf.edu/,"University of California, San Francisco"
37,ucsb.edu,United States,http://www.ucsb.edu/,"University of California, Santa Barbara"
38,ucsc.edu,United States,http://www.ucsc.edu/,"University of California, Santa Cruz"
39,"usc.edu,isi.edu",United States,"http://www.usc.edu/,http://www.isi.edu/",University of Southern California
40,carrington.edu,United States,http://www.carrington.edu,Carrington College California-Sacramento
41,calarts.edu,United States,https://calarts.edu/,California Institute of the Arts
42,csueastbay.edu,United States,https://csueastbay.edu,California State University
