,Title,Release,Certificate,Runtime,IMDB Rating,Votes,Box Office Earnings,Director,Actors
0,Kantara,(2022),R,148 min,9.2,57360,57360,Rishab Shetty,"['Rishab Shetty', 'Sapthami Gowda', 'Kishore Kumar G.', 'Achyuth Kumar']"
1,Halloween,(1978),PG-13,91 min,7.7,278716,"47,000,000",John Carpenter,"['Donald Pleasence', 'Jamie Lee Curtis', 'Tony Moran', 'Nancy Kyes']"
2,Top Gun: Maverick,(2022),R,130 min,8.4,413503,80,Joseph Kosinski,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']"
3,Everything Everywhere All at Once,(2022),PG,139 min,8.1,228796,222,Dan Kwan,"['Daniel Scheinert', 'Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis', 'Ke Huy Quan']"
4,Harry Potter and the Sorcerer's Stone,(2001),PG-13,152 min,7.6,773220,"317,575,550",Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint', 'Richard Harris', 'Maggie Smith']"
5,The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,8.8,1859531,9,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
6,The Batman,(2022),R,176 min,7.9,614146,614146,Matt Reeves,"['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright', 'Colin Farrell']"
7,The Shawshank Redemption,(1994),R,142 min,9.3,2655994,1,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
8,The Godfather,(1972),PG-13,175 min,9.2,1840863,2,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
9,Knives Out,(2019),PG,130 min,7.9,618124,"165,359,751",Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis']"
10,The Nightmare Before Christmas,(1993),PG-13,76 min,7.9,336358,"75,082,668",Henry Selick,"['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey']"
11,Spider-Man: No Way Home,(2021),R,148 min,8.3,739216,141,Jon Watts,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']"
12,American Psycho,(2000),R,102 min,7.6,607445,"15,070,285",Mary Harron,"['Christian Bale', 'Justin Theroux', 'Josh Lucas', 'Bill Sage']"
13,Parasite,(2019),R,132 min,8.5,786752,34,Bong Joon Ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik']"
