,Title,Release,Certificate,Runtime,IMDB Rating,Votes,Box Office Earnings,Director,Actors
0,Soul,(2020),PG,100 min,8.1,152080,152080,Pete Docter,"['Kemp Powers', 'Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House']"
1,Avengers: Endgame,(2019),PG-13,181 min,8.4,807529,"858,373,000",Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']"
2,Another Round,(2020),Not Rated,117 min,7.8,32093,32093,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang', 'Lars Ranthe']"
3,Sound of Metal,(2019),R,120 min,7.8,25438,25438,Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff']"
4,The Gentlemen,(2019),R,113 min,7.8,235574,235574,Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']"
5,Parasite,(2019),R,132 min,8.6,549839,"53,367,844",Bong Joon Ho,"['Kang-ho Song', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik']"
6,The Wolf of Wall Street,(2013),R,180 min,8.2,1185311,"116,900,694",Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']"
7,Knives Out,(2019),PG-13,130 min,7.9,451895,"165,359,751",Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis']"
8,The Shawshank Redemption,(1994),R,142 min,9.3,2340706,"28,341,469",Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
9,Once Upon a Time... In Hollywood,(2019),R,161 min,7.6,549603,"142,502,728",Quentin Tarantino,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch']"
10,The Trial of the Chicago 7,(2020),R,129 min,7.8,88142,88142,Aaron Sorkin,"['Eddie Redmayne', 'Alex Sharp', 'Sacha Baron Cohen', 'Jeremy Strong']"
11,Harry Potter and the Sorcerer's Stone,(2001),PG,152 min,7.6,657375,"317,575,550",Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint', 'Richard Harris', 'Maggie Smith']"
